ratio_name,valid_count,missing_count,missing_rate,zero_count,zero_rate,mean,median,std,min,max
총자산증가율,20170,2771,0.12078810862647661,3,0.0001487357461576599,5975.684839306884,4.4863054568,845439.1145207883,-100.0,120070118.05453669
유동자산증가율,20073,2868,0.12501634627958677,5,0.00024909081851242964,4993.677629119531,4.4634875346,703062.1382167083,-100.0,99609196.22292733
매출액증가율,19598,3343,0.1457216337561571,3,0.00015307684457597714,4088.1669101201255,4.35818104415,566616.3036327185,-100.0,79322007.35416384
순이익증가율,20080,2861,0.12471121572730047,3,0.000149402390438247,3663.6699831601923,-16.487755780999997,517633.09828705096,-182633.0489297696,73344456.18654917
영업이익증가율,20182,2759,0.1202650276797001,3,0.00014864730948369834,3876.5454065438907,-8.57683047875,557214.8417330896,-204343.8723126584,79158612.1441193
매출액순이익률,22243,698,0.03042587507083388,3,0.00013487389291012904,-152.44891842375372,2.6483701434,7303.8326029848195,-915165.7629316204,7873.0938399567
매출총이익률,21123,1818,0.07924676343664182,0,0.0,19.27579574478803,18.9001298754,353.69385829908333,-36743.7065134621,625.6440519479
자기자본순이익률 (ROE),22864,77,0.003356436075149296,4,0.0001749475157452764,-5.994186629403089,3.88843902005,134.90290327414047,-8725.3772355807,7062.4076985692
매출채권회전율,22079,862,0.0375746480101129,72,0.003261017256216314,49.704788751991785,6.3140425171,1708.2041768659408,0.0,197176.4448214982
재고자산회전율,20373,2568,0.11193932261017392,71,0.003485004663034408,141.91086656169665,5.5020093859,3999.1197313041766,-218.8738182734,462993.9484475
총자본회전율,22477,464,0.02022579660869186,178,0.007919206299773102,0.7744125171000489,0.6942839888,0.5075497491657242,0.0,9.0520732394
유형자산회전율,22183,758,0.033041279804716446,30,0.0013523869629896768,15.613501250167218,2.7724145095,169.04980955933598,-1.1273106999,13005.5805639541
매출원가율,21123,1818,0.07924676343664182,264,0.012498224683993751,80.94699549616455,81.100338616,354.8175259692505,-161.5923580221,36843.7065134621
부채비율,22937,4,0.00017436031559217122,0,0.0,123.6527523910369,67.5968409014,699.882993414928,-20869.4314387183,84510.2434550625
유동비율,22709,232,0.01011289830434593,0,0.0,10943.831209748387,169.5362038805,345411.9408749347,1.4275815661,25199820.744255744
자기자본비율,22930,11,0.00047949086787847086,0,0.0,57.854878282308036,58.920481248550004,26.596977073998794,-925.4043074016,100.0
당좌비율,20988,1953,0.0851314240878776,0,0.0,251.88697643154157,122.61287635725,1118.950218272088,-112390.3105638826,52469.5438695493
비유동자산장기적합률,13581,9360,0.40800313848568065,101,0.0074368603195640965,28499.314234825437,7.3018065256,3291528.456776919,-4.5865533564,383586673.3609272
순운전자본비율,22751,190,0.008282114990628133,1,4.3954111907168915e-05,20.696675330161188,19.8908717831,30.552081837466318,-920.1907600526,100.0
차입금의존도,22930,11,0.00047949086787847086,4304,0.18770170082860882,20.831026719064432,15.7457859057,22.42491189332505,-38.1259047237,457.611435337
현금비율,22700,241,0.010505209014428316,0,0.0,1339.3365719625685,34.3481030104,43912.58844856633,0.0007975937,4423830.841658342
유형자산,22570,371,0.016171919271173882,12,0.0005316792202038103,1587740241995.5435,44415011447.5,143628019997577.66,-39091444352.0,2.1561686428e+16
무형자산,22329,612,0.026677128285602196,51,0.002284025258632272,606449935203.1528,2771414410.0,75911346555007.84,-6927176387.0,1.1342883293e+16
무형자산상각비,22941,0,0.0,16973,0.7398544091364805,56091429022.16808,0.0,8139607844329.271,-15495833824.0,1232814506000000.0
유형자산상각비,22941,0,0.0,16377,0.713874722113247,34149883717.201168,0.0,2640659466417.7046,-7423415216.0,395902678000000.0
감가상각비,22941,0,0.0,16375,0.7137875419554509,90241312739.36925,0.0,10761206964635.732,-22919249040.0,1628717184000000.0
총자본영업이익률,22930,11,0.00047949086787847086,1,4.361098996947231e-05,1.4504860132152857,2.7497738947999997,11.872016186375744,-445.7888140309,65.6755986709
총자본순이익률,22857,84,0.0036615666274355954,4,0.00017500109375683597,-0.9275908405023887,2.02098035,19.450256795892706,-729.6286854029,407.6214314896
유보액/납입자본비율,22664,277,0.012074451854757856,0,0.0,4157.896241857861,894.04635151305,93398.24920840234,-16434.9261144041,6352137.576064909
총자본투자효율,22930,11,0.00047949086787847086,29,0.0012647187091146968,0.012512953013802876,0.03427881555,0.17145402730112477,-6.8309953035,4.0762143149
