ratio_name,label_0_count,label_0_mean,label_0_median,label_1_count,label_1_mean,label_1_median
총자산증가율,20044,6013.304009469565,4.5291137417,126,-8.74886498507143,-12.337697510449999
유동자산증가율,19947,5023.554191211408,4.5060960741,126,263.9333112889675,0.0
매출액증가율,19477,4113.594257667285,4.4348657738,121,-4.795471499901653,-9.2353522954
순이익증가율,19956,3687.0311736830677,-16.490390769850002,124,-95.97451744065403,-13.1347742251
영업이익증가율,20056,3900.889388104256,-8.58493425295,126,1.601801982938897,-3.13587126075
매출액순이익률,22106,-151.84592508676974,2.6642537218499998,137,-249.74651482790728,-29.2603893452
매출총이익률,20999,19.351067405781905,18.9300677108,124,6.528782767285484,11.3126479537
자기자본순이익률 (ROE),22717,-5.883561223321998,3.8985993163,147,-23.08995091473742,-0.1331818862
매출채권회전율,21952,49.8688415121345,6.3159257095,127,21.348204573622837,5.1028851253
재고자산회전율,20266,141.88860364970762,5.4928368464999995,107,146.12750370534206,8.526886136
총자본회전율,22336,0.7752464040944618,0.69574541,141,0.6423153546375886,0.3760522524
유형자산회전율,22060,15.200497948019231,2.77249812255,123,89.6854756028878,2.6274036996
매출원가율,20999,80.8730394270502,81.070006654,124,93.4712172327145,88.68735204629999
부채비율,22789,123.75301925508582,67.6458474307,148,108.21368776393783,55.492093705100004
유동비율,22565,10910.060712034343,169.8496728151,144,16235.715105007777,109.46443583920001
자기자본비율,22782,58.000463787075454,58.95001508065,148,35.44454740655338,50.93153257435
당좌비율,20876,252.3903934181756,122.76105810605,112,158.05364595856787,91.30727556475
비유동자산장기적합률,13520,28627.422789008375,7.2943825857,61,105.41829133124588,9.19879443
순운전자본비율,22605,20.86621907617915,19.9416697303,146,-5.5535738392636995,3.7856352171000003
차입금의존도,22782,20.72178459659042,15.710456366399999,148,37.64693235557095,22.3165488517
현금비율,22556,1335.5189310248309,34.4396184877,144,1937.3276066265207,19.231995436200002
유형자산,22445,1596200772495.1233,44657739554.0,125,68567385491.008,11451392870.0
무형자산,22209,609516936491.3412,2783860183.0,120,38824671791.7,799554879.0
무형자산상각비,22792,56457315572.486,0.0,149,123064895.68456376,0.0
유형자산상각비,22792,34366030737.71652,0.0,149,1086642834.0738256,0.0
감가상각비,22792,90823346310.20253,0.0,149,1209707729.7583892,0.0
총자본영업이익률,22782,1.5544313911512728,2.76739479275,148,-14.550078852579729,-6.2570584800999995
총자본순이익률,22710,-0.7160103859859973,2.035723976,147,-33.6146120790551,-10.4630609402
유보액/납입자본비율,22520,4180.90570220043,899.581054073,144,559.4723049506152,55.0384777845
총자본투자효율,22782,0.014360759445803704,0.034463531650000004,148,-0.27192438572837835,-0.0606124799
